Age,Gender,Education Level,Job Title,Years of Experience,Salary
29,Female,High School,Graphic Designer,8,49102.74
28,Female,Master's,Software Engineer,4,116209.16
31,Female,High School,Customer Service Manager,5,30195.41
49,Female,Bachelor's,Account Manager,5,68305.88
57,Female,PhD,UX Designer,13,122963.23
27,Female,Bachelor's,Financial Analyst,2,68281.1
49,Female,PhD,UX Designer,0,89358.54
53,Female,Bachelor's,Business Analyst,13,81387.6
59,Male,Master's,Data Analyst,0,96399.4
48,Male,Bachelor's,Customer Service Manager,15,71772.13
29,Female,PhD,Financial Analyst,0,111138.54
43,Female,PhD,Full Stack Developer,9,139067.75
46,Female,Master's,Business Analyst,22,131329.11
40,Male,Master's,Supply Chain Manager,7,97675.0
34,Female,Bachelor's,Business Analyst,3,69027.21
30,Male,Master's,Project Manager,6,98209.45
35,Female,High School,Data Scientist,4,62231.09
35,Male,High School,Content Writer,9,56797.49
27,Female,High School,Frontend Developer,7,50912.57
35,Female,Master's,Full Stack Developer,0,99717.23
32,Male,PhD,Marketing Manager,4,116432.26
41,Male,Bachelor's,Product Manager,2,65996.79
55,Female,Bachelor's,Frontend Developer,24,120288.36
51,Male,Master's,Account Manager,9,97293.2
35,Male,Bachelor's,Sales Manager,4,66842.84
33,Male,Bachelor's,Sales Manager,8,86503.21
46,Male,PhD,Project Manager,1,107147.17
53,Male,Master's,Business Analyst,2,86388.35
49,Male,Bachelor's,Content Writer,3,40609.41
39,Male,Bachelor's,Data Scientist,4,87707.52
52,Female,Master's,Customer Service Manager,3,77174.48
49,Female,Master's,Frontend Developer,8,108246.51
48,Female,PhD,Software Engineer,19,172104.82
25,Female,High School,Operations Manager,0,49765.13
61,Female,PhD,Sales Manager,28,173111.92
59,Female,PhD,DevOps Engineer,5,130095.25
23,Female,High School,Customer Service Manager,2,38583.81
46,Male,PhD,Frontend Developer,12,144441.49
30,Male,High School,Graphic Designer,8,54706.52
54,Male,PhD,Data Engineer,1,112564.08
31,Female,PhD,Research Scientist,1,126763.65
40,Female,Bachelor's,Product Manager,14,114846.4
32,Male,Bachelor's,Research Scientist,4,78035.17
33,Male,PhD,Frontend Developer,1,122672.64
53,Female,Bachelor's,Backend Developer,18,109976.63
58,Female,PhD,Research Scientist,7,134698.05
26,Female,Bachelor's,UX Designer,2,66853.81
24,Female,Master's,Operations Manager,0,68450.57
50,Female,Bachelor's,DevOps Engineer,17,108344.29
59,Female,Master's,Frontend Developer,34,185981.98
46,Female,Bachelor's,Data Scientist,7,85137.47
54,Female,Master's,Machine Learning Engineer,22,174148.0
53,Male,Bachelor's,Data Engineer,2,72718.25
30,Female,Master's,Product Manager,6,100027.25
48,Male,Bachelor's,Data Analyst,20,109064.97
44,Female,PhD,Content Writer,10,107250.48
48,Female,PhD,Research Scientist,20,167452.37
20,Female,High School,Financial Analyst,0,40076.6
21,Male,High School,Customer Service Manager,3,28716.76
25,Female,Master's,Data Scientist,0,99163.12
37,Male,Bachelor's,Sales Manager,13,97718.12
27,Female,Bachelor's,Account Manager,4,58421.01
36,Female,Bachelor's,Frontend Developer,7,72178.78
24,Female,Master's,Graphic Designer,0,64499.41
43,Female,Master's,Frontend Developer,13,117845.48
36,Female,Master's,Product Manager,6,109586.85
42,Female,Master's,Business Analyst,0,89137.56
19,Female,High School,Network Engineer,1,46054.42
38,Male,Master's,Account Manager,10,85826.61
32,Male,Master's,Project Manager,1,85500.65
32,Female,Master's,UX Designer,1,79226.91
39,Male,PhD,Research Scientist,3,126948.47
34,Female,Master's,Project Manager,4,87150.63
31,Male,Master's,Marketing Manager,7,100149.21
63,Male,PhD,Machine Learning Engineer,23,184781.13
26,Male,High School,Frontend Developer,8,51230.75
48,Female,Master's,Product Manager,20,153527.2
52,Female,Bachelor's,Account Manager,0,52767.34
47,Male,PhD,Marketing Manager,13,139844.51
19,Female,High School,Product Manager,1,59943.7
46,Female,Bachelor's,Graphic Designer,14,94084.56
65,Female,PhD,Content Writer,9,106036.95
45,Female,PhD,HR Manager,1,102905.44
56,Female,PhD,Product Manager,7,143850.18
27,Female,Master's,HR Manager,3,81584.85
32,Male,High School,Content Writer,1,25000
28,Male,High School,Operations Manager,3,27883.19
26,Male,Bachelor's,Operations Manager,4,71178.91
33,Male,Master's,Business Analyst,9,117032.63
30,Female,Bachelor's,Sales Manager,8,90123.76
22,Male,Bachelor's,Operations Manager,0,67976.82
25,Female,Master's,Data Scientist,0,107097.73
20,Female,High School,Network Engineer,1,48728.4
56,Female,Master's,Data Engineer,6,110715.66
53,Male,Master's,Data Scientist,20,162128.84
53,Male,PhD,Full Stack Developer,13,153972.63
28,Male,High School,Data Analyst,9,52578.4
39,Female,Bachelor's,Machine Learning Engineer,17,129332.82
60,Male,PhD,Customer Service Manager,27,147917.97
35,Female,High School,Frontend Developer,6,61557.27
53,Male,PhD,UX Designer,13,126903.47
48,Female,PhD,Marketing Manager,8,120992.61
20,Female,High School,Product Manager,0,35383.55
32,Male,Master's,Operations Manager,8,108645.79
31,Female,High School,Supply Chain Manager,5,46484.23
27,Female,High School,DevOps Engineer,9,75573.47
52,Male,Bachelor's,DevOps Engineer,7,94768.64
31,Male,Master's,Backend Developer,4,115951.54
26,Male,High School,Business Analyst,0,25000
45,Male,Master's,Sales Manager,11,113322.44
32,Male,PhD,Data Analyst,1,99455.58
46,Female,Bachelor's,UX Designer,13,94049.11
60,Male,Master's,Marketing Manager,5,100776.42
25,Female,Bachelor's,Frontend Developer,0,58402.15
54,Male,PhD,Network Engineer,8,121401.29
29,Male,High School,Project Manager,6,48823.49
26,Female,Master's,Account Manager,0,61594.06
18,Female,High School,HR Manager,0,36479.4
44,Male,Master's,Full Stack Developer,3,91482.57
39,Female,PhD,Research Scientist,2,116295.66
28,Male,Master's,Backend Developer,3,92223.56
32,Male,High School,UX Designer,14,62468.45
46,Female,PhD,Software Engineer,3,126214.91
34,Female,Master's,Customer Service Manager,9,89258.96
25,Female,High School,Data Engineer,6,57090.14
30,Female,High School,Financial Analyst,4,47829.93
34,Male,High School,Network Engineer,16,84457.83
46,Male,Master's,Financial Analyst,20,141162.51
31,Male,Bachelor's,Network Engineer,1,69453.14
57,Female,PhD,Graphic Designer,24,154665.71
44,Female,Master's,Data Analyst,4,87768.32
56,Female,PhD,Business Analyst,20,143494.45
27,Female,High School,Data Scientist,7,60701.38
29,Male,High School,Content Writer,4,48346.66
57,Male,PhD,Frontend Developer,18,142401.94
42,Female,Bachelor's,Data Engineer,19,117918.1
28,Male,High School,Data Scientist,1,52072.26
50,Male,Bachelor's,DevOps Engineer,14,101949.44
49,Male,PhD,Content Writer,21,133175.08
28,Male,Master's,Research Scientist,2,92154.75
43,Male,Bachelor's,DevOps Engineer,2,70609.97
49,Male,Master's,Project Manager,4,81788.49
32,Male,Master's,Content Writer,8,75842.71
60,Male,PhD,DevOps Engineer,23,173893.39
55,Male,Master's,Marketing Manager,12,130829.73
26,Male,Bachelor's,Data Engineer,2,75736.56
28,Male,High School,Account Manager,9,40690.84
37,Male,PhD,Customer Service Manager,2,87674.16
50,Female,Bachelor's,DevOps Engineer,1,59569.87
50,Female,Bachelor's,Network Engineer,19,110669.69
41,Male,Bachelor's,DevOps Engineer,15,100266.88
57,Female,PhD,Network Engineer,24,162030.95
34,Male,Bachelor's,Business Analyst,12,94371.05
33,Male,High School,Customer Service Manager,11,66099.24
29,Female,Master's,Frontend Developer,1,75884.49
49,Male,Bachelor's,Frontend Developer,2,82078.33
31,Female,PhD,Financial Analyst,3,104501.4
33,Male,PhD,Software Engineer,2,126971.34
33,Male,Master's,Project Manager,2,90819.49
36,Female,PhD,Account Manager,7,110998.64
37,Male,Master's,Research Scientist,13,122607.23
35,Male,PhD,Project Manager,4,118757.1
32,Female,PhD,Account Manager,0,94341.75
34,Male,High School,Project Manager,7,46023.8
48,Male,Bachelor's,Data Engineer,5,86002.85
28,Male,Master's,Machine Learning Engineer,4,116670.01
51,Male,PhD,DevOps Engineer,8,141794.6
29,Male,High School,Network Engineer,3,36041.7
24,Female,Bachelor's,Content Writer,1,39879.76
51,Female,Bachelor's,Content Writer,22,100777.45
30,Male,PhD,Data Scientist,1,134672.01
24,Female,Bachelor's,Data Engineer,1,59449.74
44,Male,PhD,Project Manager,1,115776.23
27,Female,Master's,Product Manager,2,101365.95
56,Female,PhD,UX Designer,28,161584.3
53,Female,Bachelor's,Data Engineer,31,145901.62
33,Male,PhD,Research Scientist,3,124803.84
44,Male,Master's,UX Designer,3,82615.95
38,Female,PhD,Frontend Developer,7,120949.88
29,Female,High School,Business Analyst,9,50184.1
20,Female,High School,DevOps Engineer,2,39615.31
23,Female,Bachelor's,Data Scientist,0,78368.41
47,Male,Master's,Account Manager,12,105432.57
50,Female,Bachelor's,Frontend Developer,11,91608.14
49,Female,Master's,Financial Analyst,10,100835.37
18,Female,High School,Data Engineer,0,35958.46
40,Male,Master's,Account Manager,14,112948.13
55,Male,Master's,Marketing Manager,12,117783.02
33,Female,PhD,Graphic Designer,5,90993.64
28,Female,Master's,Project Manager,4,100004.59
45,Male,Bachelor's,Product Manager,16,98604.55
30,Female,Bachelor's,Software Engineer,3,72308.87
63,Male,PhD,Data Analyst,8,132496.04
49,Female,Master's,Data Engineer,22,141795.66
22,Male,High School,Frontend Developer,2,49614.78
61,Male,PhD,Network Engineer,22,154147.97
49,Male,Bachelor's,Product Manager,16,105375.94
41,Male,Bachelor's,UX Designer,5,75494.65
29,Male,Master's,Content Writer,2,62720.18
32,Male,Master's,Data Engineer,4,96974.92
32,Female,Bachelor's,Operations Manager,10,74456.1
18,Male,High School,Content Writer,0,28826.16
48,Male,Bachelor's,Full Stack Developer,19,112781.74
43,Male,Master's,Graphic Designer,15,97692.13
23,Female,High School,Full Stack Developer,3,57893.43
41,Male,PhD,UX Designer,5,116772.96
49,Female,Master's,Data Engineer,4,98385.39
28,Female,High School,Product Manager,3,50588.39
19,Female,High School,Account Manager,1,41752.57
43,Female,PhD,Operations Manager,5,111313.49
53,Female,Bachelor's,Project Manager,29,127894.22
29,Female,PhD,Data Engineer,0,113025.86
27,Female,Master's,Full Stack Developer,0,99076.36
46,Male,PhD,Product Manager,17,146230.51
49,Male,Master's,Machine Learning Engineer,11,139460.99
35,Female,High School,Research Scientist,6,55101.19
63,Male,PhD,Marketing Manager,17,154674.67
30,Female,High School,Research Scientist,5,66941.82
54,Male,Bachelor's,Data Scientist,25,131728.6
22,Female,High School,Data Engineer,2,38223.79
42,Female,Bachelor's,Sales Manager,19,108166.04
47,Female,PhD,Data Engineer,18,168408.44
54,Male,Master's,DevOps Engineer,26,153806.29
31,Female,Master's,Supply Chain Manager,6,101572.4
44,Male,PhD,Operations Manager,7,109137.12
38,Female,PhD,Marketing Manager,8,127092.95
24,Female,High School,UX Designer,0,31385.77
37,Male,PhD,Backend Developer,6,122750.18
31,Male,PhD,Research Scientist,1,116374.24
54,Female,Master's,UX Designer,16,127299.79
58,Female,Master's,Account Manager,22,123863.95
40,Female,PhD,Research Scientist,3,115781.0
42,Female,Master's,UX Designer,6,111932.92
50,Female,PhD,Project Manager,17,155665.4
53,Male,PhD,Project Manager,11,140331.53
27,Female,High School,Frontend Developer,1,35358.38
34,Female,Bachelor's,Research Scientist,8,74979.38
32,Male,Master's,Financial Analyst,1,105239.14
36,Male,Bachelor's,Backend Developer,0,74195.46
54,Male,Master's,Software Engineer,3,126544.5
48,Female,Bachelor's,Full Stack Developer,20,116615.79
40,Female,Bachelor's,Content Writer,10,81754.8
24,Female,Bachelor's,Sales Manager,0,62722.51
30,Female,High School,Sales Manager,12,85617.74
26,Female,Master's,Operations Manager,0,70810.65
28,Female,High School,Content Writer,4,29006.73
54,Female,Bachelor's,HR Manager,29,124991.03
28,Female,High School,Content Writer,2,32765.66
42,Male,Master's,Sales Manager,18,128880.12
55,Female,PhD,Data Analyst,16,141591.03
52,Male,Bachelor's,Software Engineer,10,98590.31
48,Female,Master's,Network Engineer,7,102987.48
26,Male,High School,Data Scientist,5,66863.94
32,Male,High School,Machine Learning Engineer,4,51915.73
31,Female,Master's,Account Manager,4,64571.42
36,Female,Bachelor's,Marketing Manager,2,42466.05
50,Female,Master's,Network Engineer,22,147945.33
37,Female,Bachelor's,Data Engineer,2,72825.89
19,Male,High School,Sales Manager,0,33658.86
57,Male,Master's,Graphic Designer,28,140426.96
34,Male,High School,Frontend Developer,14,85420.34
54,Female,Bachelor's,Operations Manager,26,131082.67
25,Female,Master's,Software Engineer,1,103162.83
26,Female,Bachelor's,DevOps Engineer,0,68437.14
20,Male,High School,Project Manager,1,31495.33
39,Female,PhD,DevOps Engineer,2,136347.12
52,Male,PhD,Content Writer,2,80647.56
31,Female,Master's,Data Engineer,2,114214.33
18,Female,High School,Graphic Designer,0,47427.31
62,Male,PhD,Financial Analyst,24,164746.43
29,Female,Bachelor's,Account Manager,0,53387.48
25,Male,High School,Product Manager,3,44021.76
25,Female,High School,Frontend Developer,0,35407.48
35,Male,Bachelor's,Marketing Manager,12,83890.93
60,Male,Master's,Project Manager,20,132338.19
55,Female,Bachelor's,Project Manager,14,93893.9
49,Female,Bachelor's,Data Scientist,17,126827.44
48,Female,Master's,Customer Service Manager,16,99816.18
39,Female,PhD,Financial Analyst,8,131532.48
41,Female,Bachelor's,Data Scientist,4,64870.83
46,Female,Bachelor's,HR Manager,7,64489.15
29,Female,Master's,Data Analyst,3,75330.16
26,Male,High School,Data Analyst,6,50159.34
35,Male,Bachelor's,UX Designer,7,69504.82
34,Male,Bachelor's,Supply Chain Manager,11,101796.52
43,Female,PhD,Financial Analyst,6,111155.36
57,Female,PhD,Project Manager,17,142555.34
47,Female,Master's,Frontend Developer,16,144625.96
48,Female,PhD,UX Designer,6,127856.95
30,Male,PhD,Supply Chain Manager,2,108533.09
46,Male,PhD,UX Designer,4,114685.96
46,Male,Bachelor's,Full Stack Developer,18,98286.35
40,Female,Master's,Frontend Developer,15,117750.62
44,Male,Bachelor's,Supply Chain Manager,5,65364.2
34,Male,High School,Graphic Designer,1,32528.92
18,Male,High School,Content Writer,0,29459.35
24,Female,High School,DevOps Engineer,4,67952.91
33,Male,High School,Software Engineer,15,74932.35
34,Female,High School,Software Engineer,8,63844.46
39,Male,PhD,Data Engineer,1,124349.1
46,Female,Master's,Data Analyst,8,106703.99
49,Male,Master's,Customer Service Manager,14,100585.09
19,Female,High School,Machine Learning Engineer,0,61004.46
63,Male,PhD,Content Writer,30,155896.84
55,Female,PhD,Operations Manager,20,150041.1
34,Male,High School,HR Manager,1,47494.17
45,Male,PhD,Graphic Designer,1,80860.24
58,Male,Master's,UX Designer,2,89174.59
47,Female,Bachelor's,Sales Manager,2,63285.41
46,Female,Bachelor's,Machine Learning Engineer,21,129654.79
34,Male,High School,Product Manager,11,66859.78
42,Male,PhD,UX Designer,13,123536.76
48,Female,PhD,Frontend Developer,0,102476.51
42,Female,PhD,Backend Developer,5,135423.57
33,Female,PhD,Financial Analyst,4,129018.55
20,Male,High School,Machine Learning Engineer,1,48795.49
48,Male,PhD,Data Analyst,11,120986.07
27,Female,High School,Network Engineer,7,57221.6
49,Female,Bachelor's,Product Manager,14,107982.7
20,Male,High School,Account Manager,1,29967.12
28,Female,PhD,Machine Learning Engineer,0,128906.13
35,Male,High School,Graphic Designer,7,45797.68
41,Male,Master's,Data Analyst,15,122979.58
49,Female,Bachelor's,Project Manager,8,77314.88
39,Male,Master's,Frontend Developer,15,124066.61
22,Male,High School,Machine Learning Engineer,2,48501.87
52,Female,Master's,Content Writer,10,94679.16
41,Male,Bachelor's,Full Stack Developer,10,88385.44
42,Male,Master's,UX Designer,15,135268.82
45,Female,PhD,Product Manager,12,153612.16
23,Male,Bachelor's,Frontend Developer,1,63538.71
28,Female,Master's,Marketing Manager,3,86015.02
49,Female,Bachelor's,Data Analyst,25,118574.08
58,Female,PhD,Research Scientist,18,141017.69
62,Female,PhD,Customer Service Manager,2,85002.43
21,Female,High School,Sales Manager,1,37798.03
49,Male,PhD,Software Engineer,13,154078.76
26,Male,High School,Frontend Developer,3,41476.27
44,Female,Bachelor's,Product Manager,0,75093.53
50,Male,Master's,Supply Chain Manager,2,88102.83
41,Female,PhD,DevOps Engineer,8,148875.89
34,Female,PhD,UX Designer,3,109456.64
18,Male,High School,Graphic Designer,0,32490.91
37,Male,Bachelor's,UX Designer,5,51481.08
47,Male,Bachelor's,Sales Manager,20,100339.45
53,Male,PhD,Frontend Developer,0,102606.51
35,Male,Bachelor's,Operations Manager,4,63403.76
35,Female,High School,UX Designer,5,50534.66
61,Female,PhD,Account Manager,20,143969.68
65,Female,PhD,DevOps Engineer,7,147262.74
29,Male,Master's,UX Designer,5,82098.85
25,Male,High School,Sales Manager,4,43660.3
54,Male,PhD,Operations Manager,19,150406.18
55,Female,PhD,Content Writer,5,71049.42
32,Female,Bachelor's,Marketing Manager,7,73824.48
42,Male,Bachelor's,DevOps Engineer,14,115292.52
46,Female,Bachelor's,Backend Developer,17,108505.22
54,Female,PhD,Full Stack Developer,22,183630.94
40,Female,Bachelor's,Financial Analyst,1,74713.2
34,Female,Master's,Research Scientist,7,97091.46
58,Male,Master's,Network Engineer,23,143042.21
62,Female,PhD,Product Manager,13,150225.69
41,Female,Bachelor's,Business Analyst,1,48644.92
29,Male,Master's,Network Engineer,3,95831.88
51,Male,Master's,HR Manager,5,82418.81
25,Female,Bachelor's,Account Manager,2,50383.95
42,Female,Master's,Data Engineer,18,137043.61
22,Male,High School,Business Analyst,3,47046.04
37,Female,Bachelor's,Financial Analyst,4,70159.59
59,Female,PhD,Content Writer,9,90969.47
30,Female,High School,Customer Service Manager,8,54253.18
53,Female,Master's,Operations Manager,15,130048.36
32,Female,High School,Data Analyst,10,63714.43
41,Male,PhD,Full Stack Developer,6,136754.69
59,Female,Master's,UX Designer,8,113667.21
19,Female,High School,Software Engineer,0,56723.3
57,Female,PhD,HR Manager,0,106116.23
41,Female,Bachelor's,Data Analyst,5,69573.08
34,Female,Master's,Content Writer,0,54985.42
38,Male,Master's,Customer Service Manager,6,83331.14
22,Male,High School,Data Engineer,4,56871.08
28,Female,PhD,Product Manager,0,127107.54
52,Male,Bachelor's,Machine Learning Engineer,2,81376.84
21,Female,High School,DevOps Engineer,0,48685.77
31,Male,Bachelor's,Account Manager,1,51795.4
50,Male,Bachelor's,Content Writer,11,71304.48
41,Male,PhD,Marketing Manager,1,89025.41
30,Female,High School,UX Designer,5,50790.88
25,Male,High School,Graphic Designer,4,35662.9
37,Male,Master's,Supply Chain Manager,8,89784.21
53,Male,Bachelor's,Financial Analyst,24,130502.49
32,Male,PhD,DevOps Engineer,4,137394.89
51,Male,PhD,Network Engineer,17,150033.19
32,Male,PhD,Software Engineer,0,123325.55
30,Female,High School,Content Writer,8,50274.14
55,Female,PhD,Data Analyst,22,153191.77
39,Female,Bachelor's,Data Analyst,2,57822.03
31,Female,Bachelor's,Machine Learning Engineer,8,85374.47
27,Male,High School,Data Scientist,6,55232.22
27,Male,Bachelor's,Frontend Developer,3,68701.04
29,Male,Bachelor's,Customer Service Manager,0,45004.54
23,Female,High School,Data Engineer,3,36461.22
34,Male,Master's,Supply Chain Manager,5,89643.37
31,Female,Master's,Backend Developer,0,93349.85
33,Female,High School,Data Scientist,14,85128.94
64,Female,PhD,Sales Manager,10,124630.17
25,Male,High School,Software Engineer,0,49226.34
24,Female,Bachelor's,Machine Learning Engineer,1,83905.92
35,Male,High School,UX Designer,13,66835.98
48,Female,Bachelor's,Business Analyst,23,120036.66
34,Male,High School,Financial Analyst,1,33499.37
30,Female,High School,Project Manager,1,42016.47
35,Male,High School,DevOps Engineer,14,73674.13
40,Female,Bachelor's,Supply Chain Manager,18,96343.18
40,Male,PhD,Marketing Manager,11,125774.36
31,Male,High School,Research Scientist,0,33284.67
28,Female,High School,Supply Chain Manager,0,49330.66
30,Male,Master's,Backend Developer,1,93441.81
39,Male,Bachelor's,Financial Analyst,2,68390.76
51,Male,PhD,Operations Manager,14,138283.59
32,Male,PhD,Backend Developer,4,131170.2
37,Female,Bachelor's,UX Designer,9,87395.58
44,Female,Master's,Financial Analyst,14,117667.87
24,Male,High School,Marketing Manager,1,47885.32
50,Female,Master's,Network Engineer,3,99136.53
50,Female,Bachelor's,Business Analyst,9,82340.93
26,Female,Master's,Marketing Manager,0,79714.5
25,Female,High School,Data Engineer,5,62674.77
23,Female,Bachelor's,Research Scientist,1,70540.8
28,Male,Bachelor's,Marketing Manager,3,70062.83
30,Female,Bachelor's,DevOps Engineer,3,80972.88
26,Male,High School,Data Analyst,1,44717.28
27,Male,Bachelor's,Data Scientist,2,90163.28
31,Female,PhD,Supply Chain Manager,1,100703.55
39,Male,PhD,Sales Manager,5,113449.57
41,Male,Master's,Data Scientist,14,127895.38
55,Female,Master's,Data Scientist,26,158967.35
26,Male,High School,Backend Developer,6,63941.85
23,Female,Bachelor's,Full Stack Developer,1,89795.57
50,Female,PhD,Machine Learning Engineer,18,177764.57
23,Male,Bachelor's,Full Stack Developer,1,75823.43
38,Male,Master's,Financial Analyst,2,87770.79
25,Female,High School,Sales Manager,6,46499.23
37,Female,Bachelor's,Operations Manager,10,94979.09
34,Female,Bachelor's,Research Scientist,12,98190.31
35,Male,Master's,Data Analyst,7,110185.46
34,Male,High School,UX Designer,15,78001.65
30,Male,Bachelor's,UX Designer,5,74460.09
29,Male,Bachelor's,DevOps Engineer,5,85653.32
65,Female,PhD,Project Manager,6,109882.29
59,Male,PhD,Customer Service Manager,20,150350.01
38,Male,Master's,Machine Learning Engineer,10,125729.69
33,Male,Bachelor's,Customer Service Manager,11,85698.03
64,Male,PhD,Account Manager,2,89201.8
28,Male,Bachelor's,UX Designer,3,78486.0
25,Female,High School,Sales Manager,5,35775.86
52,Female,Master's,HR Manager,0,59484.89
26,Female,Bachelor's,Product Manager,2,73285.49
54,Female,PhD,Full Stack Developer,5,133530.1
50,Female,PhD,Product Manager,17,167952.97
32,Male,Bachelor's,Data Scientist,7,79337.85
25,Female,Master's,Product Manager,1,100613.95
38,Male,PhD,UX Designer,1,104445.99
29,Male,PhD,Account Manager,1,96349.26
28,Male,High School,Backend Developer,3,48263.03
42,Male,Master's,Product Manager,9,126166.43
37,Female,PhD,Software Engineer,0,126696.95
33,Female,PhD,HR Manager,2,104467.28
29,Male,Master's,Project Manager,3,93118.19
58,Female,PhD,Data Analyst,15,137022.49
48,Male,Master's,Frontend Developer,11,107587.49
26,Female,High School,Business Analyst,7,55190.96
22,Male,High School,Graphic Designer,0,37756.65
58,Male,Master's,Research Scientist,26,162342.02
62,Male,PhD,Full Stack Developer,30,201459.54
29,Male,Master's,Data Engineer,3,92551.12
29,Male,Bachelor's,Sales Manager,7,71074.88
34,Male,Bachelor's,Backend Developer,2,84437.75
31,Female,Bachelor's,UX Designer,9,85983.76
